arch,encoder,class_weights,n_runs,composite_score,dice_macro_mean,dice_macro_sd,dice_axon_mean,dice_axon_sd,dice_myelin_mean,dice_myelin_sd,dice_bg_mean,dice_bg_sd,iou_macro_mean,iou_macro_sd,iou_axon_mean,iou_axon_sd,iou_myelin_mean,iou_myelin_sd,iou_bg_mean,iou_bg_sd,precision_macro_mean,precision_macro_sd,precision_axon_mean,precision_axon_sd,precision_myelin_mean,precision_myelin_sd,precision_bg_mean,precision_bg_sd,recall_macro_mean,recall_macro_sd,recall_axon_mean,recall_axon_sd,recall_myelin_mean,recall_myelin_sd,recall_bg_mean,recall_bg_sd,hd95_macro_mean,hd95_macro_sd,hd95_myelin_axon_mean,hd95_myelin_axon_sd,hd95_axon_mean,hd95_axon_sd,hd95_myelin_mean,hd95_myelin_sd,hd95_bg_mean,hd95_bg_sd
manet,resnet50,"[2.0, 1.0, 2.0]",15,0.7206,0.8938,0.0179,0.8075,0.0776,0.7153,0.0837,0.9362,0.0124,0.8122,0.0278,0.7267,0.076,0.604,0.0745,0.8829,0.0214,0.9051,0.0129,0.8284,0.0508,0.7936,0.0432,0.9188,0.0272,0.8857,0.0238,0.836,0.0776,0.7129,0.0842,0.9581,0.015,15.1378,8.2579,18.0543,10.2481,18.7667,9.5846,17.3419,10.9975,9.305,4.3638
manet,resnet50,"[2.0, 2.0, 1.0]",15,0.7191,0.8948,0.0171,0.8022,0.0773,0.721,0.0848,0.9351,0.0134,0.8134,0.0271,0.7211,0.0752,0.6104,0.0762,0.8811,0.0229,0.9036,0.012,0.8426,0.0481,0.766,0.0461,0.9249,0.0273,0.8882,0.0238,0.8144,0.0827,0.7443,0.0927,0.9494,0.0181,15.4354,7.4128,18.3006,9.3214,19.2765,9.1658,17.3248,9.5045,9.7051,3.6797
manet,resnet50,"[3.0, 1.0, 1.0]",15,0.7284,0.8962,0.0146,0.8107,0.069,0.7194,0.0749,0.9382,0.0115,0.8158,0.0231,0.7299,0.0682,0.6079,0.0667,0.8862,0.0199,0.9085,0.011,0.8413,0.0451,0.7952,0.0412,0.9196,0.0208,0.8865,0.0191,0.8251,0.0708,0.7166,0.0721,0.9604,0.0129,14.43,6.3478,17.2448,8.0611,18.1139,7.5959,16.3756,8.5884,8.8004,3.0215
manet,resnet50,"[3.0, 1.0, 2.0]",15,0.7234,0.8933,0.015,0.8081,0.0729,0.7135,0.0813,0.9363,0.0125,0.8114,0.0235,0.7257,0.0717,0.6008,0.0718,0.8832,0.0215,0.9061,0.0108,0.8241,0.0473,0.8044,0.0525,0.9155,0.0249,0.8843,0.0201,0.8407,0.0728,0.7013,0.0726,0.9616,0.0136,14.7469,7.9804,17.5756,10.0726,18.6911,9.6194,16.46,10.5814,9.0897,3.8879
manet,resnet50,"[3.0, 1.0, 3.0]",15,0.73,0.893,0.0159,0.8093,0.0687,0.7099,0.081,0.9373,0.0114,0.811,0.0249,0.727,0.068,0.5974,0.0716,0.8848,0.0196,0.9052,0.0102,0.8153,0.0473,0.8052,0.0494,0.9177,0.0234,0.885,0.0215,0.8478,0.0741,0.6967,0.0754,0.961,0.0129,13.856,6.0808,16.4562,7.4412,17.3815,6.501,15.5309,8.4447,8.6557,3.4586
manet,resnet50,"[3.0, 2.0, 1.0]",15,0.7222,0.8943,0.016,0.8041,0.0745,0.7176,0.0842,0.9356,0.0123,0.8127,0.0251,0.7225,0.0723,0.6069,0.0753,0.8819,0.0211,0.9042,0.01,0.8439,0.0473,0.7695,0.0385,0.9227,0.0275,0.8868,0.0233,0.8154,0.0773,0.738,0.0934,0.9524,0.0159,15.0644,6.6762,17.7524,8.356,18.6445,8.1265,16.8603,8.6317,9.6883,3.3658
manet,resnet50,"[3.0, 2.0, 2.0]",15,0.7261,0.8953,0.0167,0.8132,0.0732,0.7225,0.0838,0.9364,0.0124,0.8145,0.0263,0.7316,0.0724,0.6112,0.0754,0.8833,0.0215,0.9042,0.0127,0.8354,0.0439,0.7853,0.0465,0.9236,0.025,0.8887,0.0226,0.8365,0.0715,0.7318,0.0805,0.9533,0.0178,15.1245,8.9336,17.8693,11.0514,18.7251,10.3637,17.0136,11.7997,9.6347,4.7429
manet,resnet50,"[3.0, 3.0, 1.0]",15,0.7298,0.8962,0.0151,0.8105,0.065,0.7255,0.0737,0.9363,0.0121,0.8156,0.024,0.7276,0.0634,0.6128,0.0681,0.883,0.0209,0.9044,0.0117,0.8519,0.0447,0.7571,0.0458,0.9279,0.0231,0.8898,0.0199,0.8148,0.0722,0.758,0.0779,0.9481,0.0181,14.5794,5.9458,17.3302,7.5256,18.3707,7.6463,16.2896,7.4807,9.0778,2.941
manet,resnet50,"[4.0, 1.0, 1.0]",15,0.7294,0.8945,0.0156,0.8111,0.0713,0.7136,0.0789,0.9369,0.0125,0.8132,0.0246,0.7307,0.0711,0.6017,0.07,0.8841,0.0216,0.9081,0.0099,0.8387,0.0436,0.7976,0.045,0.915,0.0249,0.8844,0.0213,0.8287,0.0768,0.7075,0.0779,0.963,0.0126,14.1724,5.9848,16.826,7.4514,17.5839,7.1023,16.0681,7.8674,8.8653,3.1209
unet++,densenet121,"[1.0, 1.0, 1.0]",15,0.7398,0.8988,0.0156,0.8215,0.0659,0.7327,0.071,0.9384,0.012,0.82,0.0247,0.7419,0.0654,0.6205,0.0657,0.8866,0.0207,0.9066,0.0117,0.8517,0.0398,0.7892,0.0361,0.9291,0.0255,0.8933,0.0214,0.838,0.0713,0.7422,0.0791,0.9511,0.0183,14.1271,7.0631,16.7333,8.7095,17.5535,8.6383,15.9131,8.7978,8.9146,3.8049
unet++,densenet121,"[1.0, 1.0, 2.0]",15,0.7358,0.8997,0.0144,0.8221,0.0617,0.7341,0.0655,0.9395,0.0124,0.8214,0.0228,0.743,0.0596,0.6219,0.0591,0.8884,0.0214,0.9069,0.0102,0.844,0.0434,0.7887,0.0401,0.9305,0.0262,0.8949,0.0208,0.8453,0.0724,0.7419,0.0763,0.9515,0.018,14.6261,7.2814,17.4388,9.3378,18.6038,9.9917,16.2738,8.7316,9.0009,3.2223
unet++,densenet121,"[1.0, 1.0, 3.0]",15,0.7395,0.9003,0.0149,0.8238,0.0628,0.7322,0.0703,0.94,0.0125,0.8224,0.0236,0.7441,0.0619,0.62,0.065,0.8894,0.0216,0.9072,0.0106,0.8399,0.0463,0.7867,0.0418,0.9297,0.0265,0.8956,0.0205,0.8525,0.0635,0.7431,0.0751,0.9535,0.0151,14.2376,6.1076,16.8763,7.7268,17.8118,8.0312,15.9407,7.5103,8.9603,2.9459
unet++,densenet121,"[1.0, 2.0, 1.0]",15,0.7346,0.9005,0.0163,0.8184,0.0705,0.734,0.0774,0.9391,0.0123,0.8225,0.0259,0.7396,0.0697,0.6237,0.0713,0.8878,0.0213,0.9076,0.0114,0.8614,0.0399,0.7711,0.0427,0.9325,0.0255,0.8953,0.0227,0.8266,0.076,0.7622,0.0875,0.9489,0.0188,14.6425,7.161,17.4244,9.0104,18.1584,9.0977,16.6905,9.017,9.0787,3.497
unet++,densenet121,"[1.0, 2.0, 2.0]",15,0.7468,0.9004,0.0143,0.8279,0.0544,0.7404,0.0629,0.9387,0.0119,0.8224,0.0228,0.7479,0.054,0.6276,0.0595,0.887,0.0206,0.9048,0.0125,0.8515,0.0395,0.7736,0.0428,0.9345,0.0226,0.8974,0.0177,0.8448,0.0597,0.7634,0.0637,0.946,0.0187,13.7665,5.2019,16.3936,6.7028,17.3898,6.7339,15.3974,6.7119,8.5124,2.3435
unet++,densenet121,"[1.0, 3.0, 1.0]",15,0.7332,0.899,0.0164,0.8166,0.0668,0.7352,0.0713,0.9372,0.0116,0.8201,0.0261,0.7371,0.0664,0.6238,0.0667,0.8844,0.0201,0.9045,0.0127,0.864,0.0397,0.7551,0.0397,0.9352,0.024,0.8953,0.022,0.8196,0.0761,0.777,0.0856,0.9424,0.0199,14.8732,7.0001,17.6044,9.0017,18.6304,9.4011,16.5783,8.6376,9.4109,3.0455
unet++,densenet121,"[2.0, 1.0, 1.0]",15,0.7395,0.9,0.0148,0.8224,0.0628,0.7356,0.0652,0.9397,0.0116,0.8219,0.0235,0.7429,0.0634,0.6232,0.0598,0.8888,0.0201,0.9094,0.0104,0.8545,0.0414,0.7953,0.044,0.9262,0.024,0.8928,0.0199,0.8366,0.0733,0.7378,0.0712,0.9564,0.0155,14.1998,7.296,16.9708,9.3385,17.8519,9.0409,16.0898,9.6519,8.6578,3.2501
unet++,densenet121,"[2.0, 1.0, 2.0]",15,0.7396,0.8991,0.0162,0.8221,0.0665,0.7338,0.0692,0.9395,0.0126,0.8206,0.0257,0.7425,0.0664,0.6215,0.0638,0.8885,0.0219,0.909,0.0115,0.8517,0.0371,0.801,0.0378,0.9249,0.0257,0.8918,0.0217,0.8392,0.0752,0.7306,0.0761,0.9575,0.016,14.141,7.2007,16.8584,9.1472,18.0186,9.0859,15.6981,9.2152,8.7062,3.3387
unet++,densenet121,"[2.0, 2.0, 1.0]",15,0.7342,0.8998,0.0168,0.8185,0.0655,0.7358,0.0701,0.939,0.0124,0.8216,0.0268,0.7395,0.0647,0.6253,0.0645,0.8876,0.0215,0.9073,0.0124,0.8546,0.0406,0.7792,0.0427,0.9312,0.0241,0.8943,0.0226,0.831,0.0747,0.7549,0.0793,0.95,0.0172,14.8837,7.1446,17.5814,8.9056,18.5835,9.0765,16.5794,8.7552,9.4883,3.6683
